,num,table,basic,Опыт работы,Образование,Гражданство,Тип занятости
0,№ 3470095457,"Опыт работы
2 года и 4 месяца
Август 2022 — настоящее время
Бьюти коворкинг Artelle, Косметолог
косметологические и массажные процедуры
9 лет и 11 месяцев
Август 2010 — Июнь 2020
ООО "" САНТОРИН"", Управляющий отделением
Руководство подразделением
4 года и 11 месяцев
Август 2004 — Июнь 2009
БК "" Марафон"", Оператор -кассир
Приём ставок на спортивные события
10 лет и 10 месяцев
Сентябрь 1992 — Июнь 2003
Дошкольное учреждение, Воспитатель
Работа с детьми дошкольного возраста
Учебные заведения
Год окончания: 2009
Иркутский Государственный Университет
Документоведение и ДОУ
Год окончания: 1992
Ангарское педагогическое училище
Воспитатель дошкольного учреждения
Медкнижка
Медкнижка — Нет
Гражданство
Гражданство — Россия","Может выйти завтра: Нет
Тип занятости: Подработка
Готовность к командировкам: Не готов
Переезд: Невозможен
Сфера деятельности: Фитнес, салоны красоты
График работы: Сменный график
Образование: Высшее
Стаж работы: 27 лет
Пол: Женский
Возраст: 51 год","['2 года и 4 месяца', 'Август 2022 — настоящее время', 'Бьюти коворкинг Artelle, Косметолог', 'косметологические и массажные процедуры', '9 лет и 11 месяцев', 'Август 2010 — Июнь 2020', 'ООО "" САНТОРИН"", Управляющий отделением', 'Руководство подразделением', '4 года и 11 месяцев', 'Август 2004 — Июнь 2009', 'БК "" Марафон"", Оператор -кассир', 'Приём ставок на спортивные события', '10 лет и 10 месяцев', 'Сентябрь 1992 — Июнь 2003', 'Дошкольное учреждение, Воспитатель', 'Работа с детьми дошкольного возраста']","['Год окончания: 2009', 'Иркутский Государственный Университет', 'Документоведение и ДОУ', 'Год окончания: 1992', 'Ангарское педагогическое училище', 'Воспитатель дошкольного учреждения']",['Гражданство — Россия'],"['Может выйти завтра: Нет', 'Тип занятости: Подработка', 'Готовность к командировкам: Не готов', 'Переезд: Невозможен', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Сменный график', 'Образование: Высшее', 'Стаж работы: 27 лет', 'Пол: Женский', 'Возраст: 51 год']"
2,№ 4014636439,"Опыт работы
5 лет и 6 месяцев
Июнь 2019 — настоящее время
Частная клиника, Врач-хирург-ортопед
Основная специальность хирург-ортопед-стоматолог. Кроме этого несколько лет занимаюсь иньекционной косметологией лица и тела. Прошла базовое обучение и множество курсов по иньекционным методикам. Имею более 20 сертификатов. Опыт работы по разным направлениям-лимфодренаж по лицу и телу, липолитические программы по лицу и телу, трихология, фотостарение, акне, работа с пациентами в период менопаузы, с постковидным синдромом, с проблемами дисплазии СТ, anti age. Использую в работе только препараты имеющие регистрационные удостоверения.
Медкнижка
Медкнижка — Есть
Гражданство
Гражданство — Россия","Тип занятости: Подработка
Сфера деятельности: Фитнес, салоны красоты
График работы: Свободный график
Образование: Высшее
Стаж работы: 27 лет
Пол: Женский
Возраст: 49 лет","['5 лет и 6 месяцев', 'Июнь 2019 — настоящее время', 'Частная клиника, Врач-хирург-ортопед', 'Основная специальность хирург-ортопед-стоматолог. Кроме этого несколько лет занимаюсь иньекционной косметологией лица и тела. Прошла базовое обучение и множество курсов по иньекционным методикам. Имею более 20 сертификатов. Опыт работы по разным направлениям-лимфодренаж по лицу и телу, липолитические программы по лицу и телу, трихология, фотостарение, акне, работа с пациентами в период менопаузы, с постковидным синдромом, с проблемами дисплазии СТ, anti age. Использую в работе только препараты имеющие регистрационные удостоверения.', 'Медкнижка', 'Медкнижка — Есть', 'Гражданство', 'Гражданство — Россия']",[],['Гражданство — Россия'],"['Тип занятости: Подработка', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Свободный график', 'Образование: Высшее', 'Стаж работы: 27 лет', 'Пол: Женский', 'Возраст: 49 лет']"
4,№ 4496218541,"Гражданство
Гражданство — Россия","Тип занятости: Основная работа
Готовность к командировкам: Иногда
Переезд: Невозможен
Сфера деятельности: Маркетинг, реклама, PR
График работы: Удалённая работа
Стаж работы: 6 лет
Пол: Женский
Возраст: 28 лет",[],[],['Гражданство — Россия'],"['Тип занятости: Основная работа', 'Готовность к командировкам: Иногда', 'Переезд: Невозможен', 'Сфера деятельности: Маркетинг, реклама, PR', 'График работы: Удалённая работа', 'Стаж работы: 6 лет', 'Пол: Женский', 'Возраст: 28 лет']"
6,№ 4343349321,"Учебные заведения
Год окончания: 2018
Высшее
Косметолог
Гражданство
Гражданство — Россия","Может выйти завтра: Да
Тип занятости: Подработка
Сфера деятельности: Фитнес, салоны красоты
График работы: Сменный график
Образование: Незаконченное высшее
Стаж работы: Без опыта
Пол: Женский
Возраст: 27 лет",[],"['Год окончания: 2018', 'Высшее', 'Косметолог', 'Гражданство', 'Гражданство — Россия']",['Гражданство — Россия'],"['Может выйти завтра: Да', 'Тип занятости: Подработка', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Сменный график', 'Образование: Незаконченное высшее', 'Стаж работы: Без опыта', 'Пол: Женский', 'Возраст: 27 лет']"
8,№ 2664920494,"Опыт работы
6 месяцев
Апрель 2024 — Сентябрь 2024
ООО ""Домашний +, Микробиолог
Исследование микроорганизмов, написание научной статьи
2 года и 5 месяцев
Июль 2022 — настоящее время
ООО ""Сила Севера"", Провизор--химик
Разработка рецептур косметики
2 года и 11 месяцев
Январь 2022 — настоящее время
ООО «Сикварули НН», Управляющий производством, провизор-химик
Разработка рецептур интимной косметики, физиологических систем, управление производством, химико-биологический контроль сырья и продукции
1 год и 3 месяца
Январь 2019 — Март 2020
DNC, Старший химик-технолог
Разработка рецептур косметики, варка, химико-биологический контроль продукции и сырья
4 года и 3 месяца
Август 2014 — Октябрь 2018
МГОУ (областной), Лаборант кафедры
Организация учебного процесса, химико-экологическая экспертиза природных объектов
10 лет и 4 месяца
Август 2014 — настоящее время
ИП Васильев, Индивидуальный предприниматель
Изготовление косметики, разработка рецептур, проведение химико-биологического анализа, изготовление рецептур ЛКМ
Учебные заведения
Год окончания: 2026
ЯГМУ
Фармацевтическая химия и фармакогнозия (аспирантура)
Год окончания: 2023
ООО ""Профлаб""
Военная фармация (с отличием)
Год окончания: 2022
РУДН
Промышленная фармация - разработка лекарственных препаратов (с отличием)
Год окончания: 2018
МГОУ (областной)
Биология и химия (с отличием)
Гражданство
Гражданство — Россия","Тип занятости: Основная работа, Подработка
Готовность к командировкам: Готов
Сфера деятельности: Производство, сырьё, с/х
График работы: Удалённая работа
Образование: Высшее
Стаж работы: 10 лет
Пол: Мужской
Возраст: 31 год","['6 месяцев', 'Апрель 2024 — Сентябрь 2024', 'ООО ""Домашний +, Микробиолог', 'Исследование микроорганизмов, написание научной статьи', '2 года и 5 месяцев', 'Июль 2022 — настоящее время', 'ООО ""Сила Севера"", Провизор--химик', 'Разработка рецептур косметики', '2 года и 11 месяцев', 'Январь 2022 — настоящее время', 'ООО «Сикварули НН», Управляющий производством, провизор-химик', 'Разработка рецептур интимной косметики, физиологических систем, управление производством, химико-биологический контроль сырья и продукции', '1 год и 3 месяца', 'Январь 2019 — Март 2020', 'DNC, Старший химик-технолог', 'Разработка рецептур косметики, варка, химико-биологический контроль продукции и сырья', '4 года и 3 месяца', 'Август 2014 — Октябрь 2018', 'МГОУ (областной), Лаборант кафедры', 'Организация учебного процесса, химико-экологическая экспертиза природных объектов', '10 лет и 4 месяца', 'Август 2014 — настоящее время', 'ИП Васильев, Индивидуальный предприниматель', 'Изготовление косметики, разработка рецептур, проведение химико-биологического анализа, изготовление рецептур ЛКМ']","['Год окончания: 2026', 'ЯГМУ', 'Фармацевтическая химия и фармакогнозия (аспирантура)', 'Год окончания: 2023', 'ООО ""Профлаб""', 'Военная фармация (с отличием)', 'Год окончания: 2022', 'РУДН', 'Промышленная фармация - разработка лекарственных препаратов (с отличием)', 'Год окончания: 2018', 'МГОУ (областной)', 'Биология и химия (с отличием)', 'Гражданство', 'Гражданство — Россия']",['Гражданство — Россия'],"['Тип занятости: Основная работа, Подработка', 'Готовность к командировкам: Готов', 'Сфера деятельности: Производство, сырьё, с/х', 'График работы: Удалённая работа', 'Образование: Высшее', 'Стаж работы: 10 лет', 'Пол: Мужской', 'Возраст: 31 год']"
10,№ 4387244878,"Опыт работы
11 месяцев
Январь 2024 — настоящее время
Preslife, Косметолог-эстетист
Выполнение аппаратных процедур по телу: вибромассаж, вакуумный массаж, УЗ-кавитация, лазерный липолиз, RF-лифтинг, прессотерапия, обертывание. Аппаратных процедур по лицу: вакуумный массаж лица, УЗ-чистка лица, аппаратная мезотерапия (электропорация), алмазная микродермабразия. Химические пилинги, скульптурный и буккальный массаж лица. А также заполнение карт клиентов, замеры объемов тела, составление протоколов процедур.
4 месяца
Сентябрь 2023 — Декабрь 2023
Студия красоты Кисть, Массажист-эстетист
Выполняла классический, антицеллюлитный, лимфодренажный, расслабляющий массаж тела, миофасциальный, скульптурный и буккальный массаж лица. А также SPA-процедуры на косметике Aromaderm (виски-пеленание, styx-жиросжигание
8 месяцев
Сентябрь 2022 — Апрель 2023
Студия массажа NE.ON, Массажист-эстетист
Выполняла классический, лимфодренажный и антицеллюлитный массаж тела; SPA-программы, в которые входили различные виды обертываний, пилинги тела, фитобочка. Также делала скульптурно-буккальный массаж лица, массаж лица с помощью аппарата БМС и другие косметические процедуры по уходу за лицом. Свои навыки и умения готова подтвердить, показав сертификаты о прохождении обучения и положительные отзывы посетителей студии☺️
Учебные заведения
Год окончания: 2025
ЯГМУ
Лечебное дело
Медкнижка
Медкнижка — Нет
Гражданство
Гражданство — Россия","Может выйти завтра: Нет
Тип занятости: Подработка
Сфера деятельности: Фитнес, салоны красоты
График работы: Неполный день
Образование: Высшее
Стаж работы: 1 год
Пол: Женский
Возраст: 23 года","['11 месяцев', 'Январь 2024 — настоящее время', 'Preslife, Косметолог-эстетист', 'Выполнение аппаратных процедур по телу: вибромассаж, вакуумный массаж, УЗ-кавитация, лазерный липолиз, RF-лифтинг, прессотерапия, обертывание. Аппаратных процедур по лицу: вакуумный массаж лица, УЗ-чистка лица, аппаратная мезотерапия (электропорация), алмазная микродермабразия. Химические пилинги, скульптурный и буккальный массаж лица. А также заполнение карт клиентов, замеры объемов тела, составление протоколов процедур.', '4 месяца', 'Сентябрь 2023 — Декабрь 2023', 'Студия красоты Кисть, Массажист-эстетист', 'Выполняла классический, антицеллюлитный, лимфодренажный, расслабляющий массаж тела, миофасциальный, скульптурный и буккальный массаж лица. А также SPA-процедуры на косметике Aromaderm (виски-пеленание, styx-жиросжигание', '8 месяцев', 'Сентябрь 2022 — Апрель 2023', 'Студия массажа NE.ON, Массажист-эстетист', 'Выполняла классический, лимфодренажный и антицеллюлитный массаж тела; SPA-программы, в которые входили различные виды обертываний, пилинги тела, фитобочка. Также делала скульптурно-буккальный массаж лица, массаж лица с помощью аппарата БМС и другие косметические процедуры по уходу за лицом. Свои навыки и умения готова подтвердить, показав сертификаты о прохождении обучения и положительные отзывы посетителей студии☺️']","['Год окончания: 2025', 'ЯГМУ', 'Лечебное дело']",['Гражданство — Россия'],"['Может выйти завтра: Нет', 'Тип занятости: Подработка', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Неполный день', 'Образование: Высшее', 'Стаж работы: 1 год', 'Пол: Женский', 'Возраст: 23 года']"
12,№ 4347858846,"Опыт работы
3 месяца
Июнь 2024 — Август 2024
студия, косметолог эстетист
косметические процедуры
Гражданство
Гражданство — Таджикистан
Разрешение на работу в России — Да","Может выйти завтра: Да
Тип занятости: Основная работа
Готовность к командировкам: Не готов
Переезд: Невозможен
Сфера деятельности: Фитнес, салоны красоты
График работы: Сменный график
Образование: Среднее
Стаж работы: 2 месяца
Пол: Женский
Возраст: 19 лет","['3 месяца', 'Июнь 2024 — Август 2024', 'студия, косметолог эстетист', 'косметические процедуры', 'Гражданство', 'Гражданство — Таджикистан', 'Разрешение на работу в России — Да']",[],"['Гражданство — Таджикистан', 'Разрешение на работу в России — Да']","['Может выйти завтра: Да', 'Тип занятости: Основная работа', 'Готовность к командировкам: Не готов', 'Переезд: Невозможен', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Сменный график', 'Образование: Среднее', 'Стаж работы: 2 месяца', 'Пол: Женский', 'Возраст: 19 лет']"
14,№ 4246897776,"Учебные заведения
Год окончания: 2013
СОМК
Сестринское дело
Медкнижка
Медкнижка — Нет
Гражданство
Гражданство — Россия","Может выйти завтра: Нет
Тип занятости: Основная работа, Подработка
Сфера деятельности: Фитнес, салоны красоты
График работы: Сменный график
Образование: Среднее специальное
Стаж работы: Без опыта
Пол: Женский
Возраст: 30 лет",[],"['Год окончания: 2013', 'СОМК', 'Сестринское дело']",['Гражданство — Россия'],"['Может выйти завтра: Нет', 'Тип занятости: Основная работа, Подработка', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Сменный график', 'Образование: Среднее специальное', 'Стаж работы: Без опыта', 'Пол: Женский', 'Возраст: 30 лет']"
16,№ 4021261908,"Опыт работы
1 год и 1 месяц
Август 2023 — Август 2024
Салон красоты, Косметолог
- консультации по салонным процедурам и домашнему уходу; -аппарата косметология; -гигиеническая чистки лица, шеи и зоны декольте; -косметический массажа лица и тела; -массаж: лимфодренажный, скульптурный, головы и спины;  -косметические маски, пилинги для лица, шеи и зоны декольте;  -окраска бровей и ресниц;  -коррекция формы бровей;  -эстетическая коррекция волосяного покрова лица и тела; - лазерная эпиляция на аппаратах;  -очищающие процедуры для тела;  -обёртывание; -мезотерапия (лицо + тело); -биоревитализация; -дезинфекции рабочего места и бактерицидная обработка косметологических инструментов; -аккуратная, пунктуальная, ответственная, порядочная, приятный внешний вид; -индивидуальный подход к каждому пациенту; -стремление к регулярному обучению и познанию нового. Планы на долговременное сотрудничество!!!Работаю на результат.
Учебные заведения
Год окончания: 2024
ООО Школа косметологии ""Новое лицо""
Косметолог-эстетист
Год окончания: 2024
Академия косметологии и макияжа ""Дом русской косметики"", Москва
Мезотерапия лица и тела, микронидлинг
Год окончания: 2024
ООО Аравия
Сплэш-лифтинг, лимфодренажный, скульптурный, система Anti-Age, анти акне, уход за кожей с куперозом,spa-шугаринг
Год окончания: 2024
Школа безопасных инъекций
Практика БТА Full Face
Медкнижка
Медкнижка — Нет
Гражданство
Гражданство — Россия","Тип занятости: Основная работа, Подработка
Готовность к командировкам: Не готов
Переезд: Невозможен
Сфера деятельности: Фитнес, салоны красоты
График работы: Сменный график
Образование: Высшее
Стаж работы: 1 год
Пол: Женский","['1 год и 1 месяц', 'Август 2023 — Август 2024', 'Салон красоты, Косметолог', '- консультации по салонным процедурам и домашнему уходу; -аппарата косметология; -гигиеническая чистки лица, шеи и зоны декольте; -косметический массажа лица и тела; -массаж: лимфодренажный, скульптурный, головы и спины;  -косметические маски, пилинги для лица, шеи и зоны декольте;  -окраска бровей и ресниц;  -коррекция формы бровей;  -эстетическая коррекция волосяного покрова лица и тела; - лазерная эпиляция на аппаратах;  -очищающие процедуры для тела;  -обёртывание; -мезотерапия (лицо + тело); -биоревитализация; -дезинфекции рабочего места и бактерицидная обработка косметологических инструментов; -аккуратная, пунктуальная, ответственная, порядочная, приятный внешний вид; -индивидуальный подход к каждому пациенту; -стремление к регулярному обучению и познанию нового. Планы на долговременное сотрудничество!!!Работаю на результат.']","['Год окончания: 2024', 'ООО Школа косметологии ""Новое лицо""', 'Косметолог-эстетист', 'Год окончания: 2024', 'Академия косметологии и макияжа ""Дом русской косметики"", Москва', 'Мезотерапия лица и тела, микронидлинг', 'Год окончания: 2024', 'ООО Аравия', 'Сплэш-лифтинг, лимфодренажный, скульптурный, система Anti-Age, анти акне, уход за кожей с куперозом,spa-шугаринг', 'Год окончания: 2024', 'Школа безопасных инъекций', 'Практика БТА Full Face']",['Гражданство — Россия'],"['Тип занятости: Основная работа, Подработка', 'Готовность к командировкам: Не готов', 'Переезд: Невозможен', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Сменный график', 'Образование: Высшее', 'Стаж работы: 1 год', 'Пол: Женский']"
18,№ 4122643434,"Опыт работы
2 месяца
Июль 2024 — Август 2024
Novolaser, Тренер по лпзерной эпиляции candela
Обучение сотрудников
5 месяцев
Июль 2024 — настоящее время
Lazerderm, Мастер лазерной эпиляции
Проведение эпиляции и косметологических процедур, консультирование, сбор анамнеза
2 года и 3 месяца
Март 2022 — Май 2024
Style bio, Косметолог
Лазерная эпиляция на александритовом лазере Candela и диодном лазере magic one 4000w, обучение и стажировка новых сотрудников
2 месяца
Январь 2022 — Февраль 2022
Beauty mix, Косметолог
Проведение лазерной эпиляции, расчёт клиентов, поддержание чистоты в кабинете
2 месяца
Октябрь 2021 — Ноябрь 2021
Живика, аптечная сеть, Провизор
Консультирование, отпуск лекарственных средств
3 месяца
Апрель 2021 — Июнь 2021
Магнит аптека, Продавец-консультант
Реализация лекарственной продукции, медицинских изделий, косметических средств, консультирование клиентов.
4 месяца
Декабрь 2020 — Март 2021
Ригла, Продавец-консультант
Отпуск фармацевтической, косметической продукции, консультирование клиентов
10 месяцев
Март 2020 — Декабрь 2020
Планета здоровья, Продавец-консультант
Отпуск лекарственных препаратов, косметической продукции, медицинской техники, консультирование клиентов, сбор инкассации, выкладка товара, заполнение отчетности по целевым препаратам
5 месяцев
Октябрь 2019 — Февраль 2020
Ригла, Ночной дежурант
Реализация лекарственной продукции, медицинских изделий, косметических средств, консультирование клиентов.
Учебные заведения
Год окончания: 2023
МЦПО
Косметик-эстетист
Год окончания: 2021
Российский университет дружбы народов, Москва
Фармация
Медкнижка
Медкнижка — Есть
Гражданство
Гражданство — Россия","Может выйти завтра: Нет
Тип занятости: Подработка
Готовность к командировкам: Не готов
Переезд: Невозможен
Сфера деятельности: Фитнес, салоны красоты
График работы: Полный день
Образование: Высшее
Стаж работы: 4 года
Пол: Женский
Возраст: 26 лет","['2 месяца', 'Июль 2024 — Август 2024', 'Novolaser, Тренер по лпзерной эпиляции candela', 'Обучение сотрудников', '5 месяцев', 'Июль 2024 — настоящее время', 'Lazerderm, Мастер лазерной эпиляции', 'Проведение эпиляции и косметологических процедур, консультирование, сбор анамнеза', '2 года и 3 месяца', 'Март 2022 — Май 2024', 'Style bio, Косметолог', 'Лазерная эпиляция на александритовом лазере Candela и диодном лазере magic one 4000w, обучение и стажировка новых сотрудников', '2 месяца', 'Январь 2022 — Февраль 2022', 'Beauty mix, Косметолог', 'Проведение лазерной эпиляции, расчёт клиентов, поддержание чистоты в кабинете', '2 месяца', 'Октябрь 2021 — Ноябрь 2021', 'Живика, аптечная сеть, Провизор', 'Консультирование, отпуск лекарственных средств', '3 месяца', 'Апрель 2021 — Июнь 2021', 'Магнит аптека, Продавец-консультант', 'Реализация лекарственной продукции, медицинских изделий, косметических средств, консультирование клиентов.', '4 месяца', 'Декабрь 2020 — Март 2021', 'Ригла, Продавец-консультант', 'Отпуск фармацевтической, косметической продукции, консультирование клиентов', '10 месяцев', 'Март 2020 — Декабрь 2020', 'Планета здоровья, Продавец-консультант', 'Отпуск лекарственных препаратов, косметической продукции, медицинской техники, консультирование клиентов, сбор инкассации, выкладка товара, заполнение отчетности по целевым препаратам', '5 месяцев', 'Октябрь 2019 — Февраль 2020', 'Ригла, Ночной дежурант', 'Реализация лекарственной продукции, медицинских изделий, косметических средств, консультирование клиентов.']","['Год окончания: 2023', 'МЦПО', 'Косметик-эстетист', 'Год окончания: 2021', 'Российский университет дружбы народов, Москва', 'Фармация']",['Гражданство — Россия'],"['Может выйти завтра: Нет', 'Тип занятости: Подработка', 'Готовность к командировкам: Не готов', 'Переезд: Невозможен', 'Сфера деятельности: Фитнес, салоны красоты', 'График работы: Полный день', 'Образование: Высшее', 'Стаж работы: 4 года', 'Пол: Женский', 'Возраст: 26 лет']"
